"","scientificName","black","gray","white","brown","red","orange","yellow","green","blue","pink","purple","colorDiversity","uniqueColorIndex"
"1","Abaeis nicippe",1,0,0,1,1,1,1,0,0,0,0,5,0.507341788969205
"2","Agathymus aryxna",1,1,0,1,0,1,1,0,0,0,0,5,-0.394599169198271
"3","Agathymus polingi",1,1,0,1,0,1,1,0,0,0,0,5,-0.394599169198271
"4","Agathymus stephensi",1,1,0,1,1,0,1,0,0,0,0,5,-0.845569648282008
"5","Aglais milberti",1,0,0,0,1,1,1,0,1,0,0,5,-0.394599169198271
"6","Anaea andria",0,0,0,0,1,0,1,0,0,0,0,2,-0.845569648282008
"7","Anartia fatima",0,0,1,1,1,0,0,0,0,0,0,3,0.0563713098854672
"8","Anartia jatrophae",1,0,1,1,0,0,0,0,0,0,0,3,1.40928274713668
"9","Ancyloxypha numitor",1,0,0,0,0,1,1,0,0,0,0,3,0.958312268052943
"10","Anthanassa texana",1,0,1,0,1,0,0,0,0,0,0,3,-0.394599169198271
"11","Anthocharis cethura",0,0,1,0,0,1,1,1,0,0,0,4,-0.845569648282008
"12","Anthocharis midea",1,0,0,0,0,1,0,1,0,0,0,3,-0.845569648282008
"13","Anthocharis sara",1,0,1,0,1,1,1,1,0,0,0,6,-0.394599169198271
"14","Asbolis capucinus",1,1,0,1,1,0,0,0,0,0,0,4,-0.845569648282008
"15","Ascia monuste",1,0,1,0,0,0,0,0,0,0,0,2,0.0563713098854672
"16","Asterocampa celtis",1,0,1,1,1,0,0,0,0,0,0,4,0.0563713098854672
"17","Asterocampa clyton",1,0,1,1,0,1,0,0,0,0,0,4,1.40928274713668
"18","Asterocampa leilia",1,0,1,1,0,0,0,0,0,0,0,3,1.40928274713668
"19","Astraptes fulgerator",0,0,1,1,0,0,1,0,1,0,0,4,-0.845569648282008
"20","Atalopedes campestris",1,0,1,1,0,1,1,0,0,0,0,5,0.0563713098854672
"21","Atlides halesus",1,0,0,0,1,1,0,0,1,0,0,4,-0.845569648282008
"22","Atrytone arogos",1,0,0,0,0,1,1,0,0,0,0,3,0.958312268052943
"23","Atrytonopsis lunus",0,1,0,1,0,0,0,0,1,0,0,3,0.0563713098854672
"24","Battus philenor",0,0,0,0,0,1,0,1,1,0,0,3,-0.845569648282008
"25","Battus polydamas",1,0,0,0,0,0,1,0,0,0,0,2,0.0563713098854672
"26","Boloria chariclea",1,0,1,1,0,1,1,0,0,0,1,6,-0.845569648282008
"27","Boloria epithore",1,0,0,1,0,1,0,0,0,0,1,4,-0.845569648282008
"28","Boloria kriemhild",1,0,0,1,0,1,1,0,0,0,0,4,0.0563713098854672
"29","Boloria selene",1,0,0,0,0,1,0,0,0,0,0,2,0.958312268052943
"30","Brephidium exilis",1,0,1,1,0,0,0,0,1,0,0,4,0.0563713098854672
"31","Callophrys dumetorum",1,1,1,0,1,0,1,1,1,0,0,7,-0.845569648282008
"32","Callophrys mossii",0,1,0,1,0,0,0,0,0,0,0,2,0.0563713098854672
"33","Calpodes ethlius",1,0,0,1,1,0,0,0,0,0,0,3,-0.845569648282008
"34","Calycopis cecrops",0,1,1,1,1,1,0,0,1,0,0,6,-0.845569648282008
"35","Calycopis isobeon",1,1,0,1,1,1,0,0,0,0,0,5,-0.845569648282008
"36","Celastrina ladon",1,1,1,0,0,0,0,0,1,0,0,4,-0.845569648282008
"37","Celotes nessus",1,0,0,1,1,1,0,0,0,0,0,4,0.0563713098854672
"38","Cercyonis oetus",0,0,0,1,1,0,0,0,0,0,0,2,-0.845569648282008
"39","Cercyonis pegala",0,0,0,1,1,1,1,0,0,0,0,4,-0.845569648282008
"40","Cercyonis sthenele",0,0,0,1,0,0,0,0,0,0,0,1,0.0563713098854672
"41","Chioides catillus",1,0,1,0,1,0,1,1,0,0,0,5,-0.845569648282008
"42","Chlorostrymon simaethis",0,1,1,1,0,0,0,1,0,0,1,5,-0.845569648282008
"43","Chlosyne acastus",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
"44","Chlosyne californica",1,0,0,0,1,1,0,0,0,0,0,3,-0.394599169198271
"45","Chlosyne gabbii",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
"46","Chlosyne gorgone",1,0,1,1,0,1,0,0,0,0,0,4,1.40928274713668
"47","Chlosyne harrisii",1,0,1,0,1,1,0,0,0,0,0,4,0.0563713098854672
"48","Chlosyne hoffmanni",0,0,0,0,1,0,0,0,0,0,0,1,-0.845569648282008
"49","Chlosyne janais",1,0,1,0,1,1,0,0,0,0,0,4,0.0563713098854672
"50","Chlosyne lacinia",1,0,1,0,1,1,1,0,0,0,0,5,-0.394599169198271
"51","Chlosyne nycteis",0,0,1,0,1,1,1,0,0,0,0,4,-0.845569648282008
"52","Chlosyne palla",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
"53","Cogia hippalus",0,1,1,1,1,0,0,0,0,0,0,4,-0.845569648282008
"54","Colias alexandra",1,1,1,0,0,0,1,1,0,0,0,5,0.0563713098854672
"55","Colias behrii",0,0,0,0,0,0,1,1,0,0,0,2,-0.845569648282008
"56","Colias eurytheme",1,0,1,0,0,1,1,0,0,0,0,4,-0.845569648282008
"57","Colias meadii",1,0,1,0,1,1,1,1,0,0,0,6,-0.394599169198271
"58","Colias philodice",1,0,1,0,0,1,1,1,0,1,0,6,-0.845569648282008
"59","Copaeodes aurantiaca",1,0,0,0,0,1,0,0,0,0,0,2,0.958312268052943
"60","Copaeodes minima",1,0,1,0,0,1,0,0,0,0,0,3,0.0563713098854672
"61","Cymaenes tripunctus",0,0,1,1,0,0,1,0,0,0,0,3,0.0563713098854672
"62","Danaus eresimus",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
"63","Danaus gilippus",1,0,1,1,1,0,0,0,0,0,0,4,0.0563713098854672
"64","Danaus plexippus",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
"65","Decinea percosius",0,0,0,1,0,0,1,0,0,0,0,2,0.507341788969205
"66","Dione moneta",0,0,0,1,0,1,0,0,0,0,0,2,2.31122370530416
"67","Doxocopa laure",0,1,1,1,0,1,1,0,1,0,0,6,-0.845569648282008
"68","Doxocopa pavon",0,0,1,0,0,1,0,0,1,0,1,4,-0.845569648282008
"69","Dryas iulia",1,0,0,0,0,1,0,0,0,0,0,2,0.958312268052943
"70","Dymasia dymas",1,0,1,1,1,1,0,0,0,0,0,5,2.76219418438789
