"","scientificName","eyespot","stripe","checker","tail","band","spot","featureDiversity"
"1","Abaeis nicippe",0,0,0,0,0,1,1
"2","Agathymus aryxna",0,0,0,0,1,1,2
"3","Agathymus polingi",0,0,0,0,1,0,1
"4","Agathymus stephensi",0,0,1,0,1,1,3
"5","Aglais milberti",0,0,0,0,1,1,2
"6","Anaea aidea",0,0,0,0,0,0,0
"7","Anaea andria",0,0,0,1,1,0,2
"8","Anartia fatima",0,0,0,0,1,0,1
"9","Anartia jatrophae",0,0,0,0,0,1,1
"10","Ancyloxypha numitor",0,0,0,0,0,0,0
"11","Anthanassa texana",0,0,0,0,1,1,2
"12","Anthocharis cethura",0,0,0,0,0,0,0
"13","Anthocharis midea",0,0,0,0,0,1,1
"14","Anthocharis sara",0,0,0,0,0,1,1
"15","Asbolis capucinus",0,0,0,0,0,0,0
"16","Ascia monuste",0,0,0,0,0,1,1
"17","Asterocampa celtis",1,0,0,0,0,1,2
"18","Asterocampa clyton",1,0,0,0,0,1,2
"19","Asterocampa leilia",1,0,0,0,0,1,2
"20","Astraptes fulgerator",0,0,0,1,1,1,3
"21","Atalopedes campestris",0,0,0,0,0,1,1
"22","Atlides halesus",0,0,0,1,0,0,1
"23","Atrytone arogos",0,0,0,0,0,0,0
"24","Atrytonopsis loammi",0,0,0,0,0,0,0
"25","Atrytonopsis lunus",0,0,0,0,1,1,2
"26","Battus philenor",0,0,0,0,0,1,1
"27","Battus polydamas",0,0,0,1,1,0,2
"28","Boloria chariclea",0,0,0,0,1,1,2
"29","Boloria epithore",0,0,0,0,0,0,0
"30","Boloria kriemhild",0,0,0,0,1,1,2
"31","Boloria selene",0,0,0,0,0,1,1
"32","Brephidium exilis",0,0,0,0,0,1,1
"33","Callophrys dumetorum",0,0,0,1,0,1,2
"34","Callophrys mossii",0,0,0,0,0,0,0
"35","Calpodes ethlius",0,0,0,0,0,1,1
"36","Calycopis cecrops",0,0,0,1,0,0,1
"37","Calycopis isobeon",1,0,0,1,0,1,3
"38","Celastrina ladon",0,0,0,0,0,1,1
"39","Celastrina lucia",0,0,0,0,0,0,0
"40","Celotes nessus",0,0,1,0,1,1,3
"41","Cercyonis oetus",1,0,1,0,0,1,3
"42","Cercyonis pegala",1,0,0,0,0,1,2
"43","Cercyonis sthenele",1,0,0,0,0,1,2
"44","Chioides catillus",0,1,0,1,0,0,2
"45","Chlorostrymon simaethis",0,0,0,0,1,0,1
"46","Chlosyne acastus",0,0,1,0,1,1,3
"47","Chlosyne californica",0,0,0,0,1,1,2
"48","Chlosyne gabbii",0,0,1,0,1,1,3
"49","Chlosyne gorgone",0,0,0,0,1,1,2
"50","Chlosyne harrisii",0,1,1,0,0,0,2
"51","Chlosyne hoffmanni",0,0,0,0,1,1,2
"52","Chlosyne janais",0,0,0,0,1,1,2
"53","Chlosyne lacinia",0,0,0,0,1,1,2
"54","Chlosyne nycteis",0,0,0,0,0,1,1
"55","Chlosyne palla",0,0,0,0,1,1,2
"56","Cogia hippalus",0,0,1,0,1,1,3
"57","Colias alexandra",0,0,0,0,0,1,1
"58","Colias behrii",0,0,0,0,0,1,1
"59","Colias eurytheme",0,0,0,0,0,1,1
"60","Colias meadii",0,0,0,0,0,1,1
"61","Colias philodice",0,0,0,0,0,1,1
"62","Copaeodes aurantiaca",0,0,0,0,0,0,0
"63","Copaeodes minima",0,1,0,0,0,0,1
"64","Cymaenes tripunctus",0,0,0,0,0,1,1
"65","Danaus eresimus",0,0,0,0,1,1,2
"66","Danaus gilippus",0,0,0,0,1,1,2
"67","Danaus plexippus",0,0,0,0,0,1,1
"68","Decinea percosius",0,0,0,0,0,1,1
"69","Dione moneta",0,0,0,0,0,1,1
"70","Doxocopa laure",0,0,0,0,1,1,2
"71","Doxocopa pavon",0,0,0,0,1,0,1
"72","Dryas iulia",0,0,0,0,0,0,0
"73","Dymasia dymas",0,0,0,0,0,1,1
"74","Echinargus isola",0,0,0,0,0,1,1
"75","Epargyreus clarus",0,0,0,0,1,1,2
"76","Ephyriades brunnea",0,0,0,0,0,1,1
"77","Erebia epipsodea",1,0,0,0,0,1,2
"78","Erora quaderna",0,0,0,1,0,0,1
"79","Erynnis baptisiae",0,0,0,0,0,0,0
"80","Erynnis brizo",0,0,0,0,1,1,2
"81","Erynnis funeralis",0,0,0,0,0,0,0
"82","Erynnis horatius",0,0,0,0,0,1,1
"83","Erynnis icelus",0,0,0,0,1,1,2
"84","Erynnis juvenalis",0,0,0,0,0,1,1
"85","Erynnis propertius",0,0,0,0,0,1,1
"86","Erynnis tristis",0,0,0,0,0,1,1
"87","Erynnis zarucco",0,0,0,0,0,0,0
"88","Euchloe ausonides",0,0,0,0,0,0,0
"89","Euchloe lotta",0,0,0,0,0,0,0
"90","Eumaeus atala",0,0,0,0,0,1,1
"91","Eunica monima",0,0,0,0,0,1,1
"92","Eunica tatila",1,0,0,0,0,1,2
"93","Euphilotes battoides",0,0,0,0,1,1,2
"94","Euphilotes enoptes",0,0,0,0,1,1,2
"95","Euphydryas phaeton",0,0,0,0,0,1,1
"96","Euphyes arpa",0,0,0,0,0,0,0
"97","Euphyes dion",0,0,0,0,0,1,1
"98","Euphyes dukesi",0,0,0,0,0,1,1
"99","Euphyes vestris",0,0,0,0,0,1,1
"100","Euptoieta claudia",0,0,0,0,0,1,1
"101","Euptoieta hegesia",0,0,0,0,0,0,0
"102","Eurema daira",0,0,0,0,0,1,1
"103","Ganyra josephina",0,0,0,0,0,1,1
"104","Glaucopsyche lygdamus",0,0,0,0,0,1,1
"105","Glaucopsyche piasus",0,0,1,0,1,1,3
"106","Gyrocheilus patrobas",0,0,0,0,1,1,2
"107","Habrodais grunus",0,0,0,1,0,0,1
"108","Hamadryas februa",1,0,0,0,0,1,2
"109","Hamadryas guatemalena",1,0,0,0,0,1,2
"110","Heliconius charithonia",0,1,0,0,0,0,1
"111","Heliopetes ericetorum",0,0,0,0,0,0,0
"112","Heliopetes laviana",0,0,0,0,0,0,0
"113","Heliopetes macaira",0,0,0,0,1,0,1
"114","Heliopyrgus domicella",0,0,1,0,1,1,3
"115","Hermeuptychia hermes",0,0,0,0,0,0,0
"116","Hesperia attalus",0,0,0,0,0,1,1
"117","Hesperia columbia",0,0,0,0,0,1,1
"118","Hesperia comma",0,0,0,0,1,1,2
"119","Hesperia leonardus",0,0,0,0,1,1,2
"120","Hesperia meskei",0,0,0,0,1,1,2
"121","Hesperia metea",0,0,0,0,0,1,1
"122","Hylephila phyleus",0,0,0,0,1,1,2
"123","Junonia coenia",1,0,0,0,1,1,3
"124","Junonia neildi",0,0,0,0,0,0,0
"125","Kricogonia lyside",0,0,0,0,0,0,0
"126","Leptotes cassius",0,0,0,0,0,1,1
"127","Leptotes marina",0,0,0,0,1,0,1
"128","Lerema accius",0,0,0,0,0,1,1
"129","Lerodea arabus",0,0,0,0,0,1,1
"130","Lerodea eufala",0,0,0,0,0,1,1
"131","Limenitis archippus",0,0,0,0,1,0,1
"132","Limenitis arthemis",0,0,0,0,1,1,2
"133","Limenitis lorquini",0,0,0,0,1,0,1
"134","Limenitis weidemeyerii",0,0,0,0,1,1,2
"135","Lycaena cupreus",0,0,0,0,0,1,1
"136","Lycaena phlaeas",0,0,0,0,0,1,1
"137","Marpesia petreus",0,0,0,1,0,0,1
"138","Megathymus yuccae",0,0,0,0,1,1,2
"139","Melanis pixe",0,0,0,0,1,1,2
"140","Microtia elva",0,0,0,0,0,0,0
"141","Ministrymon clytie",0,0,0,1,0,0,1
"142","Ministrymon leda",0,0,0,0,0,0,0
"143","Myscelia ethusa",0,0,0,0,1,1,2
"144","Nastra julia",0,0,0,0,0,1,1
"145","Nastra lherminier",0,0,0,0,0,1,1
"146","Nathalis iole",0,0,0,0,0,1,1
"147","Neophasia menapia",0,0,0,0,1,0,1
"148","Neophasia terlooii",0,0,0,0,0,1,1
"149","Nymphalis antiopa",0,0,0,0,0,1,1
"150","Nymphalis californica",0,0,0,0,0,1,1
"151","Ochlodes agricola",0,0,0,0,1,1,2
"152","Ochlodes sylvanoides",0,0,0,0,1,1,2
"153","Oeneis chryxus",1,0,0,0,1,1,3
"154","Oligoria maculata",0,0,0,0,0,1,1
"155","Panoquina errans",0,0,0,0,0,1,1
"156","Panoquina ocola",0,0,0,0,0,1,1
"157","Panoquina panoquin",0,0,0,0,0,1,1
"158","Panoquina panoquinoides",0,0,0,0,0,1,1
"159","Papilio polyxenes",0,0,0,0,1,1,2
"160","Papilio zelicaon",1,0,0,1,0,1,3
"161","Parnassius clodius",0,0,0,0,0,1,1
"162","Parnassius smintheus",0,0,0,0,0,1,1
"163","Parrhasius m-album",0,0,0,1,0,1,2
"164","Phaeostrymon alcestis",0,0,0,0,1,0,1
"165","Philotes sonorensis",0,0,0,0,0,1,1
"166","Phocides pigmalion",0,0,0,0,0,0,0
"167","Phoebis agarithe",0,0,0,0,0,0,0
"168","Phoebis philea",0,0,0,0,0,1,1
"169","Phoebis sennae",0,0,0,0,0,1,1
"170","Pholisora catullus",0,0,0,0,0,1,1
"171","Phyciodes phaon",0,0,0,0,1,0,1
"172","Phyciodes tharos",0,0,0,0,0,0,0
"173","Pieris marginalis",0,0,0,0,0,0,0
"174","Pieris oleracea",0,0,0,0,0,0,0
"175","Pieris rapae",0,0,0,0,0,1,1
"176","Pieris virginiensis",0,0,0,0,0,0,0
"177","Piruna pirus",0,0,0,0,0,1,1
"178","Poanes massasoit",0,0,0,0,0,1,1
"179","Poanes viator",0,0,0,0,1,1,2
"180","Poanes yehl",0,0,0,0,0,1,1
"181","Polites baracoa",0,0,0,0,0,1,1
"182","Polites mystic",0,0,0,0,1,1,2
"183","Polites sabuleti",0,0,0,0,0,1,1
"184","Polites themistocles",0,0,0,0,0,0,0
"185","Polites vibex",0,0,0,0,0,1,1
"186","Polygonia comma",0,0,0,0,0,1,1
"187","Polygonia gracilis",0,0,0,0,0,1,1
"188","Polygonia interrogationis",0,0,0,1,0,1,2
"189","Polygonia progne",0,0,0,0,0,1,1
"190","Polygonia satyrus",0,0,0,0,1,1,2
"191","Polygonus leo",0,0,0,0,0,1,1
"192","Pontia beckerii",0,0,0,0,1,1,2
"193","Pontia protodice",0,0,1,0,0,0,1
"194","Pontia sisymbrii",0,0,0,0,0,0,0
"195","Problema byssus",0,0,0,0,1,1,2
"196","Pyrgus oileus",0,0,0,0,1,1,2
"197","Pyrgus ruralis",0,0,0,0,0,1,1
"198","Pyrisitia lisa",0,0,0,0,0,1,1
"199","Pyrisitia nise",0,0,0,0,0,0,0
"200","Pyrisitia proterpia",0,0,0,1,0,0,1
"201","Satyrium behrii",0,0,0,1,0,1,2
"202","Satyrium calanus",0,0,0,1,1,1,3
"203","Satyrium edwardsii",0,0,0,1,1,1,3
"204","Satyrium liparops",0,1,0,1,0,1,3
"205","Siproeta stelenes",0,0,0,0,1,0,1
"206","Staphylus ceos",0,0,0,0,0,1,1
"207","Staphylus mazans",0,0,0,0,1,0,1
"208","Strymon bazochii",0,0,0,1,0,1,2
"209","Strymon melinus",0,0,0,1,0,1,2
"210","Systasea pulverulenta",0,0,0,0,1,1,2
"211","Systasea zampa",0,0,0,0,1,0,1
"212","Texola elada",0,0,0,0,1,1,2
"213","Thorybes mexicana",0,0,0,0,0,1,1
"214","Thorybes pylades",0,0,0,0,1,1,2
"215","Thymelicus lineola",0,0,0,0,0,0,0
"216","Timochares ruptifasciata",0,0,0,0,1,1,2
"217","Urbanus procne",0,0,0,1,1,1,3
"218","Urbanus proteus",0,0,0,1,1,0,2
"219","Vanessa annabella",1,0,0,0,0,1,2
"220","Vanessa atalanta",0,0,0,0,1,1,2
"221","Vanessa cardui",1,0,0,0,0,1,2
"222","Vanessa virginiensis",1,0,0,0,0,1,2
"223","Zerene cesonia",0,0,0,0,0,0,0
"224","Zerene eurydice",0,0,0,0,0,1,1
