"term","samplesize","meanlightness","sdlightness","selightness","meanred","sdred","sered","meangreen","sdgreen","segreen","meanblue","sdblue","seblue","meansolar","sdsolar","sesolar","meantemp","sdtemp","setemp","meanredness","sdredness","seredness","meanorangeness","sdorangeness","seorangeness","meanyellowness","sdyellowness","seyellowness","meanbrownness","sdbrownness","sebrownness","meandarkbrownness","sddarkbrownness","sedarkbrownness","meanbrownblackness","sdbrownblackness","sebrownblackness","meanblueness","sdblueness","seblueness","meangreenness","sdgreenness","segreenness","meanpurpleness","sdpurpleness","sepurpleness","meanpixSD","sdpixSD","sepixSD","meanpixUsed","sdpixSD","sepixSD","numvalidtaxa"
"1","crematogaster carinata",16,0.398823609544396,0.0568196014395217,0.0142049003598804,129.367961223864,21.9666209282431,5.49165523206079,96.3765209246744,14.9003351336101,3.72508378340252,74.0320796437775,10.9738102827809,2.74345257069523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","melophorus wheeleri",8,0.351600873409413,0.0398975793678344,0.0141059244619621,104.410182263015,14.048252582083,4.96680733230617,83.0845577514912,9.69733891892047,3.42852705451645,75.2046631260097,10.7801394464423,3.81135485235798,NA,NA,NA,NA,NA,NA,"0.0491527566833562","0.0698025702021525","0.024678935367096","0.0556073388029061","0.0761259550097194","0.0269145895058373","0.00103749410001674","0.0029344764542515","0.00103749410001674","0.203217631353553","0.142835474631531","0.0504999663529774","0.190439930956509","0.132270349933844","0.0467646306940694","0.590548304850922","0.0550911865964041","0.0194776758129654","0","0","0","0","0","0","0","0","0",25.9421070050736,9.48782063178994,3.35445115371015,1909.875,"9.48782063178994","3.35445115371015",1
"3","iridomyrmex chasei",11,0.425124799420406,0.102374676324434,0.0308671263092935,131.568668485746,26.5266547193795,7.99808733159019,106.513221224381,32.4360459569406,9.7798358292633,83.6534691189401,30.3814272491395,9.16034498007955,NA,NA,NA,NA,NA,NA,"0.116919205806395","0.0953340551831622","0.028744299162326","0.191917236407649","0.148727284519612","0.0448429635309079","0.0641974164260574","0.0706475973102396","0.0213010520561987","0.336333640350463","0.201709872918897","0.0608178149983864","0.291026424994855","0.175337539804852","0.0528662573815179","0.475761497839261","0.108173830979996","0.0326156372269063","0","0","0","0.00205418548212389","0.00681296249400026","0.00205418548212389","0","0","0",26.6398489372959,6.85153806473113,2.06581645432281,2046.36363636364,"6.85153806473113","2.06581645432281",1
"4","melophorus microtriches",4,0.423113831092135,0.0918308246923673,0.0459154123461836,139.787582420768,30.10614372495,15.053071862475,99.4760208656708,26.6218131567674,13.3109065783837,76.0004714362213,17.3122181710633,8.65610908553163,NA,NA,NA,NA,NA,NA,"0.196616863061077","0.0595851443808013","0.0297925721904007","0.270633648693831","0.0901181826019205","0.0450590913009603","0.0679368135493531","0.0647171820832056","0.0323585910416028","0.420442419247322","0.0220861303350327","0.0110430651675164","0.350795184948473","0.0428834739100039","0.021441736955002","0.451813402271499","0.118063308725294","0.0590316543626471","0","0","0","0","0","0","0","0","0",27.5925098854883,2.62452290691536,1.31226145345768,1339.75,"2.62452290691536","1.31226145345768",1
"5","iridomyrmex pallidus",7,0.441286921592645,0.0494557966338743,0.0186925341119738,150.298803289146,13.1796041693172,4.98142214432618,116.406348166039,15.1336281178653,5.71997377628657,74.757526723103,13.0604376945888,4.93638145050511,NA,NA,NA,NA,NA,NA,"0.149084148336651","0.0475224901900961","0.0179618129607858","0.350237476827368","0.0373400628179847","0.014113217165131","0.212683150522034","0.032610059133148","0.01232544381506","0.49094892349207","0.0653497640686532","0.0246998891374858","0.395461284399506","0.0726978677454087","0.0274772112712879","0.410592928277859","0.0516847222326164","0.0195349888012791","0","0","0","0","0","0","0","0","0",24.4046076295084,3.03895391434126,1.14861661473332,1695.42857142857,"3.03895391434126","1.14861661473332",1
"6","cataglyphis isis",5,0.43690028707148,0.0796189875945158,0.0356066937122099,120.911276458103,24.9002444994459,11.1357278714253,102.779226095374,16.253339513626,7.26871440277024,103.832594936328,15.5410893837392,6.95018646128821,NA,NA,NA,NA,NA,NA,"0.0131757067778252","0.0294617760068219","0.0131757067778252","0.00275622926044312","0.00616311598792479","0.00275622926044312","0","0","0","0.031563964138021","0.0705791694519805","0.031563964138021","0.0250614544545217","0.0560391157753255","0.0250614544545217","0.525838131536853","0.097648017644886","0.0436695210644128","0","0","0","0","0","0","0","0","0",31.3343200283721,15.4444164437292,6.90695300819882,1737,"15.4444164437292","6.90695300819882",1
"7","camponotus turkestanicus",5,0.477387450994441,0.10705513018478,0.0478765096866515,144.720409603972,28.1677074778202,12.596981738147,109.952672619213,26.8244218225943,11.9962461304899,98.9355058765167,27.9763545073431,12.5114060882103,NA,NA,NA,NA,NA,NA,"0.0988663818211528","0.0908547291659991","0.0406314700985013","0.133339189329019","0.123725292111772","0.055331632739588","0.0062475692677967","0.013969989576932","0.0062475692677967","0.211966791384804","0.206627502679431","0.0924066284024456","0.17225115380699","0.188369997422725","0.0842416238317348","0.432468981945206","0.110461597952236","0.0493999283848903","0","0","0","0","0","0","0","0","0",31.5338450998211,11.2117103481265,5.01402929648972,1908.2,"11.2117103481265","5.01402929648972",1
"8","formica clara",10,0.440392914422156,0.111635388473646,0.0353022095054428,141.24666372314,36.5436936915221,11.5561306180736,107.154323575653,30.9718833547683,9.79416948261247,83.3537226321598,25.2304821894309,7.97857901829136,NA,NA,NA,NA,NA,NA,"0.139557649241059","0.114338519100245","0.036157014464744","0.23546428935273","0.144697381952357","0.0457573298432788","0.0707815481448759","0.0938876580842733","0.0296898843725425","0.370909853439739","0.11310037161732","0.0357654778522192","0.301928623916785","0.102293334424241","0.032347992623391","0.446091514811217","0.143308602711851","0.0453181592865633","0","0","0","0","0","0","0","0","0",30.7342873061931,13.4927650892313,4.2667869615576,1867,"13.4927650892313","4.2667869615576",1
"9","pheidole sexspinosa",19,0.338037609763711,0.047607772198203,0.0109219719967933,107.513730671945,18.2974633860356,4.19772599067708,80.9802496895804,11.6405014501001,2.67051418279605,64.8854503075475,11.5255433972239,2.64414099673114,NA,NA,NA,NA,NA,NA,"0.0891206254406666","0.0840940035254524","0.0192924875329053","0.150569758256543","0.107086912644854","0.024567422652352","0.0212383193139484","0.0546374306670468","0.0125346862532825","0.356506773420536","0.133029739180987","0.0305191152408156","0.335380933849143","0.11459917209935","0.0262908531681312","0.578377526776686","0.0717547583766101","0.0164616705516748","0","0","0","0","0","0","0","0","0",25.0415835809166,6.93284157957994,1.59050293878768,2316.10526315789,"6.93284157957994","1.59050293878768",3
"10","pheidole tandjongensis",8,0.450816386256483,0.0514959294309016,0.0182065604520472,159.811083742403,21.0155443681097,7.43011696650857,116.120915606412,16.2407045135423,5.74195614638637,70.1052732484033,8.81721361728258,3.11735576997544,NA,NA,NA,NA,NA,NA,"0.22382523943373","0.0549292611726477","0.0194204265303731","0.416476442453697","0.089072446513321","0.0314918654732226","0.236842490082075","0.0918825091153934","0.0324853726339647","0.528897143210342","0.0503034903208362","0.0177849695616076","0.409796678917558","0.0436498223378455","0.0154325426863393","0.37328986767685","0.0824138994827832","0.0291377135941513","0","0","0","0","0","0","0","0","0",21.8889612097639,2.67890723117322,0.94713673466613,2164.375,"2.67890723117322","0.94713673466613",1
"11","pheidole gatesi",3,0.417195428170686,0.0945446070367823,0.0545853543231137,129.952904142067,38.2294207593238,22.071766366359,103.376421563099,27.0060646016837,15.5919586675345,82.8167642249829,9.99602228764006,5.77120615859449,NA,NA,NA,NA,NA,NA,"0.0962900079643985","0.0833901217747334","0.048145309254398","0.193834098794287","0.167871225044673","0.0969204969687344","0.0801236012472373","0.0694367104336185","0.0400893034604918","0.288323225548122","0.209149098527346","0.120752288335531","0.233610413961451","0.152983724366003","0.0883251944443435","0.490380768070325","0.149919297095387","0.0865559465347414","0","0","0","0","0","0","0","0","0",28.7548614346297,6.26683787659718,3.61816053502113,2517,"6.26683787659718","3.61816053502113",1
"12","messor intermedius",4,0.372857349832512,0.0763164079855866,0.0381582039927933,103.67785992795,21.4453296050786,10.7226648025393,88.9989654545401,19.4578904530461,9.72894522652304,86.9112752790834,18.6693062832503,9.33465314162517,NA,NA,NA,NA,NA,NA,"0.0231126262067034","0.0288018696339373","0.0144009348169686","0.00785340937572435","0.0157068187514487","0.00785340937572435","0","0","0","0.0834158484426385","0.104131553011668","0.052065776505834","0.0726431088631234","0.0949919242403519","0.047495962120176","0.593420157145292","0.084099331784622","0.042049665892311","0","0","0","0","0","0","0","0","0",30.2218882815762,5.02874288917403,2.51437144458701,1546,"5.02874288917403","2.51437144458701",1
"13","pheidole pallidula",41,0.432547521072543,0.0756808887734274,0.0118193691028193,142.89579676515,27.8380175883185,4.34756793028889,106.915123140888,23.3308650974517,3.64366897038461,77.7034389818467,21.4227153068211,3.34566603933487,NA,NA,NA,NA,NA,NA,"0.152096209392695","0.117812770067781","0.0183992635000027","0.27420282997571","0.157476543778101","0.0245937042510418","0.108380536544501","0.115916573433147","0.0181031273382915","0.41280942369865","0.130278184531987","0.0203460341703784","0.333539414717024","0.100578704354561","0.0157077546249337","0.439624326411176","0.109168696424779","0.0170492860011329","0","0","0","0","0","0","0","0","0",30.1576207499433,6.37749931532737,0.995998059516685,2171,"6.37749931532737","0.995998059516685",3
"14","bothriomyrmex corsicus",10,0.397869289649309,0.0943798136463909,0.0298455176264837,127.747633879978,26.3536335932669,8.33375067762509,97.4922721932469,29.008279595795,9.17322345257007,75.1657038411694,23.4897101069101,7.42809855149132,NA,NA,NA,NA,NA,NA,"0.112291073348309","0.0908048435982784","0.0287150128345919","0.213924168821276","0.0776778083585244","0.0245638798063002","0.0460997313739485","0.0664993621195323","0.0210289447246044","0.395025236285039","0.0961614302815351","0.0304089142749138","0.346502565015434","0.106684594505827","0.0337366309889899","0.499028886745183","0.103347582718694","0.0326813752063729","0","0","0","0","0","0","0","0","0",23.2105396055478,4.2517273407867,1.34451423868969,2058.5,"4.2517273407867","1.34451423868969",1
"15","formica candida",16,0.371375777510811,0.105014561492839,0.0262536403732099,101.629986000679,31.9941634637429,7.99854086593573,90.3806020620457,26.4954601280508,6.62386503201269,88.161710340652,22.9099016826671,5.72747542066678,NA,NA,NA,NA,NA,NA,"0.0197271179687832","0.0313592786828725","0.00783981967071811","0.0295116200626215","0.0481324741766304","0.0120331185441576","0","0","0","0.0846890191680922","0.100063961372493","0.0250159903431232","0.0699479987276572","0.0825840298046591","0.0206460074511648","0.594341778410487","0.122955625781125","0.0307389064452812","0","0","0","0","0","0","0","0","0",31.5325552409975,14.1368227442953,3.53420568607383,1619,"14.1368227442953","3.53420568607383",2
"16","formica decipiens",4,0.375455702853044,0.0557530749407753,0.0278765374703877,106.273477982922,24.2685181108821,12.134259055441,94.9936792141094,15.3849507215836,7.6924753607918,85.2544560680661,7.0821530250978,3.5410765125489,NA,NA,NA,NA,NA,NA,"0.0144866450891782","0.0289732901783563","0.0144866450891782","0.0607316180409245","0.0932555973778151","0.0466277986889075","0.0124403767180052","0.0248807534360104","0.0124403767180052","0.177041619702128","0.154690168701607","0.0773450843508036","0.154942813709735","0.133854877845144","0.0669274389225722","0.578264211420977","0.0859311213637753","0.0429655606818876","0","0","0","0","0","0","0","0","0",22.864293067442,4.55613407949024,2.27806703974512,1961.75,"4.55613407949024","2.27806703974512",1
"17","formica gagates",8,0.372795201490827,0.0870139634887709,0.0307640818204143,101.159816024413,26.0333807979664,9.20419004972686,92.1291127128886,21.6790864711478,7.66471452683906,89.567719115139,18.1965982868254,6.43346902157089,NA,NA,NA,NA,NA,NA,"0.00543286104710552","0.0153664515506103","0.00543286104710552","0.00519271053803812","0.0146872033367424","0.00519271053803812","0","0","0","0.0729995119125439","0.0663739423196988","0.0234667323541719","0.0622249278201049","0.0585065988215389","0.0206852063854355","0.600833858576848","0.097134057860102","0.0343420754985223","0","0","0","0","0","0","0","0","0",29.094673130845,7.50856211097079,2.65467759281391,1798.125,"7.50856211097079","2.65467759281391",1
"18","lasius carniolicus",5,0.47569325308287,0.0437606782156511,0.019570370246338,166.818032391925,22.9983510514329,10.2851752642815,124.31799840035,12.9619403259065,5.79675593780453,75.7855266803387,13.424557648165,6.00364469383234,NA,NA,NA,NA,NA,NA,"0.206767997951014","0.0993463124221974","0.044429021577993","0.418966059801667","0.132187034751768","0.0591158390898159","0.252161173695742","0.0920778728771115","0.0411784765953611","0.497775168631583","0.0664995344514799","0.0297394959011197","0.372476115250563","0.0443774568116821","0.0198462020198964","0.345811637678726","0.0901896119664035","0.0403340206442413","0","0","0","0","0","0","0","0","0",20.8488944508391,3.8850510781746,1.73744766137145,1826.2,"3.8850510781746","1.73744766137145",1
"19","temnothorax lichtensteini",7,0.418682253538907,0.0551642071778217,0.0208501104949372,140.746633006034,21.4309090485057,8.10012224462714,108.80143284457,16.0182934363031,6.05434583715947,72.7813162988083,10.3817512892399,3.92393315495043,NA,NA,NA,NA,NA,NA,"0.127866457349893","0.0781913515993224","0.0295535530011171","0.307068019439443","0.0981795128325646","0.0371083678280629","0.161127769035684","0.092094823390226","0.0348085713895646","0.465609301601914","0.0747635621980625","0.0282579703864833","0.387157951741259","0.06169868960469","0.0233199127017965","0.448052419584179","0.0840427805823754","0.0317651852730476","0","0","0","0","0","0","0","0","0",21.67518516382,7.59637809027359,2.8711610416691,1641,"7.59637809027359","2.8711610416691",1
"20","formica forsslundi",4,0.387507217375457,0.0548222766772592,0.0274111383386296,113.918079544348,12.8145961848286,6.40729809241431,94.1755829877267,15.1093041249458,7.55465206247288,85.0332169240718,20.3650549046719,10.182527452336,NA,NA,NA,NA,NA,NA,"0.0394722439075164","0.0291132592617382","0.0145566296308691","0.0863487185723857","0.0724319439862127","0.0362159719931064","0.0020549616910791","0.00410992338215821","0.0020549616910791","0.230162054829264","0.165392270043796","0.082696135021898","0.211032348056298","0.157301995406896","0.0786509977034482","0.553262433159421","0.0502533183718769","0.0251266591859385","0","0","0","0","0","0","0","0","0",26.9835056344123,1.49945774137953,0.749728870689767,2088,"1.49945774137953","0.749728870689767",1
"21","temnothorax aveli",6,0.339638691173017,0.0752617979834968,0.0307255003639992,128.184266952962,20.9313813843027,8.5452006671887,76.0671013907459,24.49836291485,10.0014147791508,45.031465545276,26.6129407232794,10.864687554495,NA,NA,NA,NA,NA,NA,"0.266982673708465","0.104951292786615","0.0428461858621078","0.357005821775323","0.128963713076771","0.0526492153954637","0.108822300563484","0.106614379372785","0.0435251381178053","0.605192335149622","0.17009945407513","0.0694428113350083","0.523981099081335","0.143801189137412","0.0587065896320191","0.497316600184461","0.0820838485658929","0.0335105908517204","0","0","0","0","0","0","0","0","0",19.4453820166697,4.09180434980351,1.67047213071988,2085,"4.09180434980351","1.67047213071988",1
"22","formica japonica",5,0.381858467550257,0.056126047915701,0.0251003316895835,106.672898760303,13.9766193979422,6.2505342138882,92.3031156088687,17.5476420715209,7.84754410335121,88.1344873953502,15.320835725314,6.85168603078189,NA,NA,NA,NA,NA,NA,"0.00672078616838276","0.0150281347347442","0.00672078616838276","0.00875288786494985","0.0195720522654609","0.00875288786494985","0","0","0","0.100018740253547","0.0964711256561075","0.0431431989665961","0.0882611348318187","0.0864588161343537","0.0386655580261141","0.581674906822341","0.0548102721487931","0.0245118988779929","0","0","0","0","0","0","0","0","0",25.1673660942665,8.51293866183284,3.80710190722886,2390.4,"8.51293866183284","3.80710190722886",1
