"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol"
"1","Solenopsis invicta",1,312,28.2463768115942,66,0.267186403289765,9.01823831401097e-14,7.74566296698937,7.3062880772384,9.03721876460385,7.00887730890732,6.31519673844808,7.53119562025876,13.7992970031655,18.4137858073658,17.5050826789687,20.454121527779,19.2001946471957,18.2775118748264,19.694814985225,TRUE,TRUE
"2","Solenopsis invicta",2,312,28.2463768115942,93,0.00591989151688694,9.77734135973137e-05,7.90073350640527,7.43136602544713,8.79751184910903,7.2622465256474,6.61102027732368,7.54203740368329,14.5962704902638,20.844168792131,19.7099615419981,21.856438227831,18.6411040592738,18.1241481523277,20.0597653325707,TRUE,TRUE
"3","Solenopsis invicta",3,312,28.2463768115942,48,0.00496972058101997,1.00353371113701e-10,6.87001802542001,6.57732173565703,8.24497644052881,5.69627400594496,5.2734397619685,6.22106843776752,14.5109067862959,20.6822242839256,19.5980181108687,22.5286798089921,19.5472287273092,18.6910236357152,20.3712135950048,FALSE,TRUE
"4","Solenopsis invicta",4,312,28.2463768115942,61,0.044439410892562,1.01793249380621e-10,8.18351392931053,7.30196642092005,9.7029002672528,6.85415908997187,6.80599402421633,7.51099125485299,14.6639150778623,20.4913054310431,19.0552154805382,21.1114533485659,19.5045919657902,17.8360528008966,20.3583639782738,TRUE,TRUE
"5","Tapinoma melanocephalum",1,312,28.2463768115942,10,0.27401390730611,6.05229292631721e-08,5.71126757021471,2.08185463008823,12.501330640682,7.47841796280399,6.77400389518592,8.24068821646124,13.7845636536255,23.0875285313741,16.6762212532527,26.1291901213473,17.5716952101115,17.1408172957921,18.7108523001289,TRUE,TRUE
"6","Tapinoma melanocephalum",3,312,28.2463768115942,11,0.317281352078795,0.536439708418411,7.23319297447961,5.5873743273004,11.245849854409,6.43939503371192,5.68602646074337,7.06085608141747,15.3384579651383,22.413635146822,15.6682833908683,23.9704068296948,19.4665827895385,18.2691770290419,19.6385101662262,TRUE,TRUE
"7","Tapinoma melanocephalum",4,312,28.2463768115942,10,0.775855823917337,0.0026783992626858,4.55976241734395,4.36133622172061,7.0058683645507,7.12290687565074,6.6846498765705,7.92965719886873,13.536086786576,19.638258932127,16.6454041455322,21.9569263740257,18.8430231174022,18.5769711652782,19.1473618031697,TRUE,TRUE
"8","Camponotus planatus",1,312,28.2463768115942,15,0.980968343619619,4.93869216763583e-09,6.17851070931783,6.12144819406951,10.4910145824302,7.42862005340247,7.06247986159152,8.61702554032425,12.167522756707,17.9459324122052,14.6008800994063,20.1907834564823,18.3758307753486,17.7760271848901,19.0557685332568,TRUE,TRUE
"9","Camponotus planatus",2,312,28.2463768115942,38,0.23193298156971,0.000159554198795237,8.62598543408501,8.31118672129556,9.64880902134475,6.70154841144172,6.2942720234165,6.898688428855,14.3751587882058,19.9719852977634,18.0323971229231,21.426051560714,18.7679671432379,18.0586637689889,19.7724562024875,FALSE,TRUE
"10","Camponotus planatus",3,312,28.2463768115942,31,0.12592199179535,0.028488090709252,7.40431469079748,7.15817325815131,9.25597856113406,5.97355311398035,5.72569232328593,6.13726967079317,14.7085205331049,20.6010992349361,18.7636905701226,22.4827078210266,19.3697470745346,18.6117472126829,20.3887584451649,FALSE,TRUE
"11","Camponotus planatus",4,312,28.2463768115942,34,0.293803821999638,0.00946127147043825,8.07811602956627,6.06312872570216,10.7335349402268,7.01772976763622,6.03065473684265,7.30867093838678,14.1628479519943,19.2147449624275,18.6065923671096,20.2458979823206,18.9992093277988,18.3241027857311,19.3152034672937,TRUE,TRUE
"12","Dorymyrmex bureni",1,312,28.2463768115942,23,0.103243430557992,7.31279552555633e-10,7.09245938276024,4.76769331565515,12.1854966863882,7.09866584284031,6.73380378317203,7.49615807798356,14.9416951073412,21.9596664845214,18.4977367993397,24.1409958043214,18.9869392135664,17.7494154033129,19.9019704483526,TRUE,TRUE
"13","Dorymyrmex bureni",2,312,28.2463768115942,49,0.691442020245754,0.53965548045564,7.08537297422219,5.38371620635301,8.51508529322176,7.66019299121626,6.80617895698421,8.35145562286028,13.8726174547139,20.8583104607022,19.5670346053811,23.2433382420651,19.8592116377491,19.1331699728679,20.4350656826823,TRUE,TRUE
"14","Dorymyrmex bureni",3,312,28.2463768115942,37,0.950458378921202,0.000665882862158355,6.42177502578594,5.55339874871656,8.07341737415789,7.13840861642506,6.75821664280711,7.5150156035018,13.6654218224694,19.4227277831901,17.0158494566041,20.3565620560752,20.1796518657887,19.1319973251238,20.5948096422255,TRUE,TRUE
"15","Dorymyrmex bureni",4,312,28.2463768115942,44,0.0676463020339784,0.0791580215388753,7.92042926239332,6.58706399720702,8.94625586488847,6.87708169007011,5.61560491354918,7.44527353197563,14.0993662734696,19.1129102090476,18.4074529058489,20.8158817767676,18.3862906763357,18.1846388044751,19.6146231632623,TRUE,TRUE
