file,is_night,is_multiple,is_flagged,is_male_or_queen,is_nest,time
100002413 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,27.735000000000582
100003046 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,11.640999999995984
100003677 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,22.75
100003980 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,11.546999999998661
100020942 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,26.406000000002678
100022000 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,10.06199999999808
100022184 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,N,11.453000000001339
100023603 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,N,14.843999999997322
100038417 Solenopsis invicta 2021-10-18.jpg,N,Y,N,N,Y,37.625
100045339 Solenopsis invicta 2021-10-17.jpg,N,N,N,N,N,14.68699999999808
100095012 Solenopsis invicta 2021-11-02.jpg,N,Y,N,N,Y,8.0
100097774 Solenopsis invicta 2021-10-20.jpg,N,Y,N,N,N,17.687999999994645
100119089 Solenopsis invicta 2001-11-27.jpg,N,Y,N,N,Y,14.860000000000582
100155082 Solenopsis invicta 2021-11-03.jpg,N,Y,N,N,Y,19.639999999999418
100250307 Solenopsis invicta 2021-11-02.jpg,,,Y,,,13.140999999995984
98151194 Solenopsis invicta 2021-10-13.jpg,N,N,N,N,N,5.610000000000582
98152205 Solenopsis invicta 2021-08-25.jpg,,,Y,,,11.68800000000192
98174882 Solenopsis invicta 2021-10-13.jpg,,,Y,,,71.96899999999732
98193894 Solenopsis invicta 2021-10-13.jpg,N,Y,N,N,N,12.75
98213475 Solenopsis invicta 2021-09-29.jpg,N,Y,N,N,N,7.264999999999418
98238725 Solenopsis invicta 2021-10-14.jpg,N,Y,N,N,Y,5.889999999999418
98238733 Solenopsis invicta 2021-10-14.jpg,N,Y,N,Y,Y,8.969000000004598
98247027 Solenopsis invicta 2021-10-14.jpg,N,Y,N,Y,Y,9.265999999995984
98352029 Solenopsis invicta 2021-10-15.jpg,N,Y,N,N,Y,11.43699999999808
98396642 Solenopsis invicta 2021-10-16.jpg,N,Y,N,N,N,22.98399999999674
98451086 Solenopsis invicta 2021-10-14.jpg,N,N,N,N,N,4.969000000004598
98457817 Solenopsis invicta 2021-10-16.jpg,N,Y,N,N,Y,6.60899999999674
98512046 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,Y,10.890999999995984
98516085 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,N,12.328999999997905
98539933 Solenopsis invicta 2021-10-16.jpg,,,Y,,,17.639999999999418
98546239 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,N,27.45300000000134
98550253 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,Y,11.453999999997905
98554619 Solenopsis invicta 2021-10-17.jpg,N,N,N,N,N,16.32800000000134
98569330 Solenopsis invicta 2021-09-29.jpg,Y,Y,N,N,Y,16.156999999999243
98577427 Solenopsis invicta 2021-09-30.jpg,,,Y,,,3.75
98610319 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,N,7.296999999998661
98646020 Solenopsis invicta 2021-10-18.jpg,,,Y,,,3.2189999999973224
98652933 Solenopsis invicta 2021-10-18.jpg,N,Y,N,N,N,28.139999999999418
98655548 Solenopsis invicta 2021-09-14.jpg,N,N,N,N,N,8.593999999997322
98673778 Solenopsis invicta 2021-10-18.jpg,N,Y,N,N,Y,10.594000000004598
98717720 Solenopsis invicta 2020-11-11.jpg,N,Y,N,N,N,850.0
98738682 Solenopsis invicta 2021-10-19.jpg,N,Y,N,N,Y,6.14100000000326
98746007 Solenopsis invicta 2021-10-19.jpg,N,N,N,N,N,6.140999999995984
98750045 Solenopsis invicta 2021-10-19.jpg,N,Y,N,N,Y,10.718000000000757
98754515 Solenopsis invicta 2021-10-19.jpg,,,Y,,,12.610000000000582
98793627 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,N,8.406000000002678
98795078 Solenopsis invicta 2021-10-17.jpg,N,Y,N,N,N,19.5
98800869 Solenopsis invicta 2021-08-30.jpg,,,Y,,,16.937999999994645
98810955 Solenopsis invicta 2021-10-20.jpg,N,Y,N,N,N,23.32800000000134
98884670 Solenopsis invicta 2021-10-21.jpg,N,Y,N,N,N,4.73399999999674
98931815 Solenopsis invicta 2021-10-21.jpg,Y,Y,N,N,Y,19.20300000000134
99007069 Solenopsis invicta 2021-10-22.jpg,Y,Y,N,N,Y,8.60899999999674
99022654 Solenopsis invicta 2021-10-22.jpg,N,Y,N,N,Y,6.4060000000026776
99033398 Solenopsis invicta 2021-10-22.jpg,N,Y,N,N,Y,4.593000000000757
99129575 Solenopsis invicta 2021-10-23.jpg,N,Y,N,N,Y,4.6560000000026776
99242258 Solenopsis invicta 2021-10-23.jpg,Y,Y,N,N,N,30.18800000000192
99279001 Solenopsis invicta 2021-10-10.jpg,,,Y,,,1.985000000000582
99343750 Solenopsis invicta 2021-10-25.jpg,N,N,N,N,N,4.453000000001339
99394034 Solenopsis invicta 2021-10-25.jpg,N,Y,N,N,Y,5.625
99398228 Solenopsis invicta 2021-10-23.jpg,N,Y,N,N,N,7.89100000000326
99399842 Solenopsis invicta 2021-10-25.jpg,N,Y,N,N,Y,5.2810000000026776
