file,is_multiple,is_night,is_male_or_queen,is_flagged,is_nest,time
100002413 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,2783.369202338
100003046 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,43.58348447700064
100003677 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,18.84805043300048
100003980 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,24.86542023400034
100020942 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,166.27660310500005
100022000 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,18.12586923400022
100022184 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,N,20.038481219000005
100023603 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,N,13.111336242000107
100038417 Solenopsis invicta 2021-10-18.jpg,Y,N,N,N,Y,335.32213296500004
100095012 Solenopsis invicta 2021-11-02.jpg,Y,N,N,N,Y,9.436836583000058
100097774 Solenopsis invicta 2021-10-20.jpg,Y,N,N,N,N,11.353733293000005
100119089 Solenopsis invicta 2001-11-27.jpg,Y,N,N,N,Y,34.661426756999845
100155082 Solenopsis invicta 2021-11-03.jpg,Y,N,N,N,N,9.26141291399972
100250307 Solenopsis invicta 2021-11-02.jpg,Y,N,N,N,N,10.427476815999853
98151194 Solenopsis invicta 2021-10-13.jpg,N,N,N,N,N,8.726812743999744
98174882 Solenopsis invicta 2021-10-13.jpg,Y,N,N,N,N,11.68825736900044
98193894 Solenopsis invicta 2021-10-13.jpg,Y,N,N,N,N,30.74671584400039
98213475 Solenopsis invicta 2021-09-29.jpg,Y,N,N,N,N,7.171625072000097
98238725 Solenopsis invicta 2021-10-14.jpg,Y,N,N,N,Y,7.678422011999828
98238733 Solenopsis invicta 2021-10-14.jpg,Y,N,Y,N,Y,9.498354311000185
98247027 Solenopsis invicta 2021-10-14.jpg,Y,N,Y,N,Y,8.599875387999873
98352029 Solenopsis invicta 2021-10-15.jpg,Y,N,N,N,Y,13.710063838000224
98396642 Solenopsis invicta 2021-10-16.jpg,Y,N,N,N,N,25.246850041000016
98457817 Solenopsis invicta 2021-10-16.jpg,Y,N,N,N,Y,19.434870672000216
98512046 Solenopsis invicta 2021-10-17.jpg,Y,N,N,N,N,14.563936239000213
98516085 Solenopsis invicta 2021-10-17.jpg,Y,N,N,N,N,9.346949421999852
98539933 Solenopsis invicta 2021-10-16.jpg,Y,N,N,N,Y,21.592399343000125
98546239 Solenopsis invicta 2021-10-17.jpg,N,N,N,N,N,15.370796007999616
98550253 Solenopsis invicta 2021-10-17.jpg,Y,N,N,N,Y,9.16149079600018
98554619 Solenopsis invicta 2021-10-17.jpg,N,N,N,N,N,7.674020891999589
98569330 Solenopsis invicta 2021-09-29.jpg,Y,N,N,N,N,8.627039204000084
98577427 Solenopsis invicta 2021-09-30.jpg,N,N,N,N,N,10.110692396000104
98610319 Solenopsis invicta 2021-10-17.jpg,Y,N,N,N,N,7.080807966000066
98646020 Solenopsis invicta 2021-10-18.jpg,N,N,N,N,N,6.955498417999934
98652933 Solenopsis invicta 2021-10-18.jpg,Y,N,N,N,Y,13.004102203000002
98655548 Solenopsis invicta 2021-09-14.jpg,N,N,N,N,N,9.499238698000227
98673778 Solenopsis invicta 2021-10-18.jpg,Y,N,N,N,Y,8.776651092000066
98717720 Solenopsis invicta 2020-11-11.jpg,Y,N,N,N,N,9.44832753999981
98738682 Solenopsis invicta 2021-10-19.jpg,Y,N,N,N,Y,15.942139019000024
98746007 Solenopsis invicta 2021-10-19.jpg,N,N,N,N,N,5.677172603000145
98750045 Solenopsis invicta 2021-10-19.jpg,Y,N,N,N,Y,13.429045402000156
98793627 Solenopsis invicta 2021-10-17.jpg,Y,N,N,N,N,7.675063041000158
98795078 Solenopsis invicta 2021-10-17.jpg,N,N,N,N,N,12.035892480999792
98800869 Solenopsis invicta 2021-08-30.jpg,Y,N,N,N,N,12.06376154399959
98810955 Solenopsis invicta 2021-10-20.jpg,Y,N,N,N,N,23.286794024999836
98884670 Solenopsis invicta 2021-10-21.jpg,Y,N,N,N,N,8.672146388000328
98931815 Solenopsis invicta 2021-10-21.jpg,Y,N,N,N,Y,22.328045704000033
99007069 Solenopsis invicta 2021-10-22.jpg,Y,N,N,N,Y,10.91637142000036
99022654 Solenopsis invicta 2021-10-22.jpg,Y,N,N,N,Y,7.072006624999631
99033398 Solenopsis invicta 2021-10-22.jpg,Y,N,N,N,Y,9.860527751000518
99242258 Solenopsis invicta 2021-10-23.jpg,Y,N,N,N,N,14.219508699000471
99279001 Solenopsis invicta 2021-10-10.jpg,,,,Y,,4.079494229999909
99343750 Solenopsis invicta 2021-10-25.jpg,N,N,N,N,N,6.938021732000379
99394034 Solenopsis invicta 2021-10-25.jpg,Y,N,N,N,Y,8.18215933800002
99398228 Solenopsis invicta 2021-10-23.jpg,Y,N,N,N,N,8.91865529200004
99399842 Solenopsis invicta 2021-10-25.jpg,Y,N,N,N,N,14.358381115000157
99470165 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,Y,7.945315516999472
99470274 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,N,12.762585735000357
99484539 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,N,18.86370658099986
99484664 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,N,10.968027255999914
99484949 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,N,5.884330509000392
99504118 Solenopsis invicta 2021-10-22.jpg,Y,N,N,N,Y,6.456002893999539
99561646 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,N,11.68145272000038
99572182 Solenopsis invicta 2021-10-27.jpg,Y,N,N,N,N,25.141465044999677
99573553 Solenopsis invicta 2021-10-27.jpg,Y,N,N,N,N,8.14193714099929
99574597 Solenopsis invicta 2021-10-27.jpg,N,N,N,N,N,6.5332905330005815
99603773 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,Y,8.903648409000198
99646540 Solenopsis invicta 2021-10-26.jpg,Y,N,N,N,Y,13.741677843000616
99650876 Solenopsis invicta 2021-10-28.jpg,Y,N,N,N,Y,7.967066603000603
99673260 Solenopsis invicta 2021-10-28.jpg,Y,N,N,N,Y,308.5020946759996
99706381 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,N,9.811115840000639
99722266 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,10.191828640000494
99725141 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,8.101325075999739
99726327 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,6.873950887999854
99727863 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,Y,13.149305226999786
99728661 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,8.237263823999456
99729178 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,5.134824132000176
99732460 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,18.182499206000102
99735005 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,5.321350557000187
99740469 Solenopsis invicta 2021-10-29.jpg,Y,Y,N,N,Y,10.625565769999412
99743487 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,N,10.143310016999749
