"","id","observed_on_string","observed_on","time_observed_at","time_zone","quality_grade","url","image_url","tag_list","description","num_identification_agreements","num_identification_disagreements","latitude","longitude","species_guess","scientific_name","iconic_taxon_name","taxon_id","taxon_subfamily_name","taxon_genus_name","datetimes","utc_hour","local_hour","season","midday_dist","is_night","local_hour_diff","hour_adj","coords.x1","coords.x2","grid_id","cell_lat","cell_long","category","year","yday","daymet_tile","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","temp_min","precip"
"1",7718206,"Wed Aug 30 2017 17:23:34 GMT-0400 (EDT)","2017-08-30","2017-08-30 21:23:34 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/7718206","https://static.inaturalist.org/photos/10123347/medium.jpg","","",2,0,29.65372,-82.6013033333,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2017-08-30 21:00:00,21,17,"3",2,FALSE,2.76777372262774,1,29.65372,-82.6013033333,201,29.695652173913,-81.7391304347826,"ants",2017,242,10849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.81,8.82
"2",13091306,"Sun Jun 03 2018 17:26:53 GMT-0400 (EDT)","2018-06-03","2018-06-03 21:26:53 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13091306","https://static.inaturalist.org/photos/19072851/medium.jpg","","",2,0,28.6051992165,-81.3002093971,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-03 21:00:00,21,17,"3",2,FALSE,2.76777372262774,1,28.6051992165,-81.3002093971,201,29.695652173913,-81.7391304347826,"ants",2018,154,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.24,0
"3",13091387,"2018-06-03 5:30:00 PM EDT","2018-06-03","2018-06-03 21:30:00 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13091387","https://inaturalist-open-data.s3.amazonaws.com/photos/19072960/medium.jpeg","","There's some ants eating this ladybug! What kind are they?",3,0,28.6052862655,-81.3002158089,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-03 22:00:00,22,18,"3",3,FALSE,3.76777372262774,1,28.6052862655,-81.3002158089,201,29.695652173913,-81.7391304347826,"ants",2018,154,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.24,0
"4",13115410,"Mon Jun 04 2018 12:01:39 GMT-0400 (EDT)","2018-06-04","2018-06-04 16:01:39 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13115410","https://inaturalist-open-data.s3.amazonaws.com/photos/19117280/medium.jpg","","Observed on a sidewalk close to a large anthill. The anthill itself was interwoven with grass. The purpose of the ants moving frantically outside the hill was unclear, as they did not appear to be carrying anything. While 10-15 active ants were observed, there are likely thousands residing in the closest anthill and others nearby. The temperature was 79 degrees and the anthills were observed in direct sunlight.",2,0,28.1757510233,-82.3281373355,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-04 16:00:00,16,12,"3",3,FALSE,-2.23222627737226,1,28.1757510233,-82.3281373355,201,29.695652173913,-81.7391304347826,"ants",2018,155,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.99,3.13
"5",13119441,"2018-06-04 2:09:52 PM EDT","2018-06-04","2018-06-04 18:09:52 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13119441","https://inaturalist-open-data.s3.amazonaws.com/photos/19124591/medium.jpeg","","A worker atop its hill. Next to a sidewalk.",1,0,28.07363431,-82.3757272,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-04 18:00:00,18,14,"3",1,FALSE,-0.232226277372263,1,28.07363431,-82.3757272,201,29.695652173913,-81.7391304347826,"ants",2018,155,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.99,3.13
"6",13161221,"Tue Jun 05 2018 16:55:41 GMT-0400 (EDT)","2018-06-05","2018-06-05 20:55:41 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13161221","https://inaturalist-open-data.s3.amazonaws.com/photos/19208386/medium.jpg","","",2,0,28.0723274523,-82.3725765723,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-05 21:00:00,21,17,"3",2,FALSE,2.76777372262774,1,28.0723274523,-82.3725765723,201,29.695652173913,-81.7391304347826,"ants",2018,156,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.77,0
"7",13177404,"2018-06-06 11:16:12 AM EDT","2018-06-06","2018-06-06 15:16:12 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13177404","https://inaturalist-open-data.s3.amazonaws.com/photos/19253712/medium.jpeg","","Found in a small field in a neighborhood in Tampa. The ants were exiting an ant hill after a rain shower. Warm, humid weather.",2,0,28.05335291,-82.53438963,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-06 15:00:00,15,11,"3",4,FALSE,-3.23222627737226,1,28.05335291,-82.53438963,201,29.695652173913,-81.7391304347826,"ants",2018,157,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.51,13.95
"8",13196444,"Wed Jun 06 2018 17:01:14 GMT-0400 (EDT)","2018-06-06","2018-06-06 21:01:14 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13196444","https://static.inaturalist.org/photos/19291945/medium.jpg","","I was walking around the neighborhood park and saw these",2,0,27.9920820781,-82.1492533201,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-06 21:00:00,21,17,"3",2,FALSE,2.76777372262774,1,27.9920820781,-82.1492533201,201,29.695652173913,-81.7391304347826,"ants",2018,157,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.51,13.95
"9",13203563,"2018-06-07 9:51:57 AM EDT","2018-06-07","2018-06-07 13:51:57 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13203563","https://inaturalist-open-data.s3.amazonaws.com/photos/19304768/medium.jpeg","","",3,1,28.07127737,-82.37533202,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-07 14:00:00,14,10,"3",5,FALSE,-4.23222627737226,1,28.07127737,-82.37533202,201,29.695652173913,-81.7391304347826,"ants",2018,158,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.81,34.8
"10",13212324,"Thu Jun 07 2018 14:35:09 GMT-0400 (EDT)","2018-06-07","2018-06-07 18:35:09 UTC","Eastern Time (US & Canada)","research","https://www.inaturalist.org/observations/13212324","https://inaturalist-open-data.s3.amazonaws.com/photos/19319503/medium.jpg","","",1,0,28.0725337705,-82.37255889,"Red Imported Fire Ant","Solenopsis invicta","Insecta",67598,"Myrmicinae","Solenopsis",2018-06-07 19:00:00,19,15,"3",0,FALSE,0.767773722627737,1,28.0725337705,-82.37255889,201,29.695652173913,-81.7391304347826,"ants",2018,158,10490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.81,34.8
